"Gulfport-Biloxi-Pascagoula, MS ",370702
"Montgomery, AL ",374536
"Tallahassee, FL ",367413
"Fayetteville, NC ",366383
"Trenton, NJ ",366513
"Huntington-Ashland, WV-KY-OH ",364908
"Hickory-Lenoir-Morganton, NC ",365497
"Savannah, GA ",347611
"Eugene, OR ",351715
"Ann Arbor, MI ",344791
"Rockford, IL ",349431
"Ocala, FL ",331298
"Naples-Immokalee-Marco Island, FL ",321520
"Kalamazoo-Portage, MI ",326589
"South Bend-Mishawaka, IN-MI ",319224
"Spartanburg, SC ",313268
"Evansville, IN-KY ",311552
"Green Bay, WI ",306241
"Columbus, GA-AL ",294865
"Fort Collins, CO ",299630
"Lincoln, NE ",302157
"Roanoke, VA ",308707
"Kingsport-Bristol-Bristol, TN-VA ",309544
"Boulder, CO ",294567
"Utica-Rome, NY ",299397
"Lubbock, TX ",290805
"Erie, PA ",280566
"Fort Smith, AR-OK ",280467
"Duluth, MN-WI ",279771
"Atlantic City-Hammonton, NJ ",274549
"San Luis Obispo-Paso Robles-Arroyo Grande, CA ",269637
"Clarksville, TN-KY ",260625
"Norwich-New London, CT ",274055
"Kennewick-Richland, WA ",253340
"Gainesville, FL ",264275
"Santa Cruz-Watsonville, CA ",262382
"Greeley, CO ",252825
"Wilmington, NC ",254884
"Merced, CA ",255793
"Cedar Rapids, IA ",257940
"Laredo, TX ",250304
"Olympia-Tumwater, WA ",252264
"Amarillo, TX ",251933
"Waco, TX ",252772
"Hagerstown-Martinsburg, MD-WV ",251599
"Lynchburg, VA ",252634
"Bremerton-Silverdale, WA ",251133
"Binghamton, NY ",251725
"Crestview-Fort Walton Beach-Destin, FL ",235865
"Yakima, WA ",243231
"Sioux Falls, SD ",228261
"Topeka, KS ",233870
"College Station-Bryan, TX ",228660
"Champaign-Urbana, IL ",231891
"Tuscaloosa, AL ",230162
"Macon, GA ",232293
"Appleton, WI ",225666
"Charleston, WV ",227078
"Charlottesville, VA ",218705
"Chico, CA ",220000
"Longview, TX ",214369
"Fargo, ND-MN ",208777
"Barnstable Town, MA ",215888
"Tyler, TX ",209714
"Las Cruces, NM ",209233
"Burlington-South Burlington, VT ",211261
"Prescott, AZ ",211033
"Springfield, IL ",210170
"Rochester, MN ",206877
"Houma-Thibodaux, LA ",208178
"Medford, OR ",203206
"Lafayette-West Lafayette, IN ",201789
"Florence, SC ",205566
"Bellingham, WA ",201140
"Lake Havasu City-Kingman, AZ ",200186
"Lake Charles, LA ",199607
"Johnson City, TN ",198716
"Yuma, AZ ",195751
"Elkhart-Goshen, IN ",197559
"Saginaw, MI ",200169
"Athens-Clarke County, GA ",192541
"Racine, WI ",195408
"Hilton Head Island-Bluffton-Beaufort, SC ",187010
"Daphne-Fairhope-Foley, AL ",182265
"St. Cloud, MN ",189093
"Bloomington, IL ",186133
"Panama City, FL ",184715
"Warner Robins, GA ",179605
"Gainesville, GA ",179684
"Jacksonville, NC ",177772
"Kingston, NY ",182493
"Blacksburg-Christiansburg-Radford, VA ",178237
"Redding, CA ",177223
"Monroe, LA ",176441
"El Centro, CA ",174528
"Joplin, MO ",175518
"Greenville, NC ",168148
"Terre Haute, IN ",172425
"Muskegon, MI ",172188
"Sioux City, IA-NE-SD ",168563
"East Stroudsburg, PA ",169842
"Oshkosh-Neenah, WI ",166994
"Waterloo-Cedar Falls, IA ",167819
"Columbia, MO ",162642
"Yuba City, CA ",166892
"Dover, DE ",162310
"Abilene, TX ",165252
"Eau Claire, WI ",161151
"Billings, MT ",158934
"Punta Gorda, FL ",159978
"Bloomington, IN ",159549
"Bend-Redmond, OR ",157733
"Bowling Green, KY ",158599
"Pueblo, CO ",159063
"Janesville-Beloit, WI ",160331
"Jackson, MI ",160248
"Kahului-Wailuku-Lahaina, HI ",154924
"Iowa City, IA ",152586
"Vineland-Bridgeton, NJ ",156898
"Albany, GA ",157308
"Niles-Benton Harbor, MI ",156813
