id,name,titles
180,"Therapists, all other"
181,Veterinarians
182,Registered nurses
183,Nurse anesthetists
184,Nurse midwives
185,Nurse practitioners
186,"Health diagnosing and treating practitioners, all other"
187,Clinical laboratory technologists and technicians
188,Dental hygienists
189,Diagnostic related technologists and technicians
190,Emergency medical technicians and paramedics
191,Health practitioner support technologists and technicians
192,Licensed practical and licensed vocational nurses
193,Medical records and health information technicians
194,"Opticians, dispensing"
195,Miscellaneous health technologists and technicians
196,Other healthcare practitioners and technical occupations
197,"Nursing, psychiatric, and home health aides"
198,Occupational therapy assistants and aides
199,Physical therapist assistants and aides
200,Massage therapists
201,Dental assistants
202,Medical assistants
203,Medical transcriptionists
204,Pharmacy aides
205,Veterinary assistants and laboratory animal caretakers
206,Phlebotomists
207,"Healthcare support workers, all other, including medical equipment preparers"
208,First-line supervisors of correctional officers
209,First-line supervisors of police and detectives
210,First-line supervisors of fire fighting and prevention workers
211,"First-line supervisors of protective service workers, all other",
212,Firefighters,
213,Fire inspectors,
214,"Bailiffs, correctional officers, and jailers",
215,Detectives and criminal investigators,
216,Fish and game wardens,
217,Parking enforcement workers,
218,Police and sheriff's patrol officers,
219,Transit and railroad police,
220,Animal control workers,
221,Private detectives and investigators,
222,Security guards and gaming surveillance officers,
223,Crossing guards,
224,Transportation security screeners,
225,"Lifeguards and other recreational, and all other protective service workers",
226,Chefs and head cooks,Kitchen Manager
227,First-line supervisors of food preparation and serving workers,Kitchen Manager
228,Cooks,
229,Food preparation workers,
230,Bartenders,
231,"Combined food preparation and serving workers, including fast food",
232,"Counter attendants, cafeteria, food concession, and coffee shop",
233,Waiters and waitresses,
234,"Food servers, nonrestaurant",
235,Dining room and cafeteria attendants and bartender helpers,
236,Dishwashers,
237,"Hosts and hostesses, restaurant, lounge, and coffee shop",
238,"Food preparation and serving related workers, all other",
239,First-line supervisors of housekeeping and janitorial workers,
240,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",
241,Janitors and building cleaners,
242,Maids and housekeeping cleaners,
243,Pest control workers
244,Grounds maintenance workers
245,First-line supervisors of gaming workers
246,First-line supervisors of personal service workers
247,Animal trainers
248,Nonfarm animal caretakers
249,Gaming services workers
250,Motion picture projectionists
251,"Ushers, lobby attendants, and ticket takers"
252,Miscellaneous entertainment attendants and related workers
253,Embalmers and funeral attendants
254,"Morticians, undertakers, and funeral directors"
255,Barbers
256,"Hairdressers, hairstylists, and cosmetologists"
257,Miscellaneous personal appearance workers
258,"Baggage porters, bellhops, and concierges"
259,Tour and travel guides,
260,Childcare workers,
261,Personal care aides,
262,Recreation and fitness workers,
263,Residential advisors,
264,"Personal care and service workers, all other ",
265,First-line supervisors of retail sales workers,
266,First-line supervisors of non-retail sales workers,Sales Executive
267,Cashiers,
268,Counter and rental clerks,
269,Parts salespersons,
270,Retail salespersons,
271,Advertising sales agents,
272,Insurance sales agents,
273,"Securities, commodities, and financial services sales agents",Sales Executive
274,Travel agents,
275,"Sales representatives, services, all other",Account Executive
276,"Sales representatives, wholesale and manufacturing",Sales Executive
277,"Models, demonstrators, and product promoters",
278,Real estate brokers and sales agents,Roving Leasing Consultant
279,Sales engineers,
280,Telemarketers,
281,"Door-to-door sales workers, news and street vendors, and related workers",
282,"Sales and related workers, all other",Sales Executive
283,First-line supervisors of office and administrative support workers,
284,"Switchboard operators, including answering service",
285,Telephone operators,
286,"Communications equipment operators, all other",
287,Bill and account collectors,
288,Billing and posting clerks ,
289,"Bookkeeping, accounting, and auditing clerks",Bookkeeper
290,Gaming cage workers,
291,Payroll and timekeeping clerks,
292,Procurement clerks,
293,Tellers,
294,"Financial clerks, all other",Transaction Services- Financial Due Diligence and Valuation Intern
295,Brokerage clerks,
296,Correspondence clerks,
297,"Court, municipal, and license clerks",
298,"Credit authorizers, checkers, and clerks",
299,Customer service representatives,Member Services Associate
300,"Eligibility interviewers, government programs",
301,File clerks,
302,"Hotel, motel, and resort desk clerks",
303,"Interviewers, except eligibility and loan",
304,"Library assistants, clerical",
305,Loan interviewers and clerks,
306,New accounts clerks,
307,Order clerks
308,"Human resources assistants, except payroll and timekeeping"
309,Receptionists and information clerks
310,Reservation and transportation ticket agents and travel clerks
311,"Information and record clerks, all other"
312,Cargo and freight agents
313,Couriers and messengers
314,Dispatchers
315,"Meter readers, utilities"
316,Postal service clerks
317,Postal service mail carriers
318,"Postal service mail sorters, processors, and processing machine operators"
319,"Production, planning, and expediting clerks"
320,"Shipping, receiving, and traffic clerks"
321,Stock clerks and order fillers
322,"Weighers, measurers, checkers, and samplers, recordkeeping"
323,Secretaries and administrative assistants
324,Computer operators
325,Data entry keyers
326,Word processors and typists
327,Desktop publishers
328,Insurance claims and policy processing clerks
329,"Mail clerks and mail machine operators, except postal service"
330,"Office clerks, general"
331,"Office machine operators, except computer"
332,Proofreaders and copy markers
333,Statistical assistants
334,"Office and administrative support workers, all other"
335,"First-line supervisors of farming, fishing, and forestry workers"
336,Agricultural inspectors
337,Animal breeders
338,"Graders and sorters, agricultural products"
339,Miscellaneous agricultural workers 
340,Fishers and related fishing workers
341,Hunters and trappers
342,Forest and conservation workers
343,Logging workers
344,First-line supervisors of construction trades and extraction workers
345,Boilermakers
346,"Brickmasons, blockmasons, and stonemasons"
347,Carpenters
348,"Carpet, floor, and tile installers and finishers"
349,"Cement masons, concrete finishers, and terrazzo workers"
350,Construction laborers
351,"Paving, surfacing, and tamping equipment operators"
352,Pile-driver operators
353,Operating engineers and other construction equipment operators
354,"Drywall installers, ceiling tile installers, and tapers"
355,Electricians
356,Glaziers
357,Insulation workers
358,"Painters, construction and maintenance"
359,Paperhangers
360,"Pipelayers, plumbers, pipefitters, and steamfitters"
361,Plasterers and stucco masons
362,Reinforcing iron and rebar workers
363,Roofers
364,Sheet metal workers
365,Structural iron and steel workers
366,Solar photovoltaic installers
367,"Helpers, construction trades"
368,Construction and building inspectors
369,Elevator installers and repairers
370,Fence erectors
371,Hazardous materials removal workers
372,Highway maintenance workers
373,Rail-track laying and maintenance equipment operators
374,Septic tank servicers and sewer pipe cleaners
375,Miscellaneous construction and related workers
376,"Derrick, rotary drill, and service unit operators, oil, gas, and mining"
377,"Earth drillers, except oil and gas"
378,"Explosives workers, ordnance handling experts, and blasters"
379,Mining machine operators
380,"Roof bolters, mining"
381,"Roustabouts, oil and gas"
382,Helpers--extraction workers
383,Other extraction workers
384,"First-line supervisors of mechanics, installers, and repairers"
385,"Computer, automated teller, and office machine repairers"
386,Radio and telecommunications equipment installers and repairers
387,Avionics technicians
388,"Electric motor, power tool, and related repairers"
389,"Electrical and electronics installers and repairers, transportation equipment"
390,"Electrical and electronics repairers, industrial and utility"
391,"Electronic equipment installers and repairers, motor vehicles"
392,Electronic home entertainment equipment installers and repairers
393,Security and fire alarm systems installers
394,Aircraft mechanics and service technicians
395,Automotive body and related repairers
396,Automotive glass installers and repairers
397,Automotive service technicians and mechanics
398,Bus and truck mechanics and diesel engine specialists
399,Heavy vehicle and mobile equipment service technicians and mechanics
400,Small engine mechanics
401,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
402,Control and valve installers and repairers
403,"Heating, air conditioning, and refrigeration mechanics and installers"
404,Home appliance repairers
405,Industrial and refractory machinery mechanics
406,"Maintenance and repair workers, general"
407,"Maintenance workers, machinery"
408,Millwrights
409,Electrical power-line installers and repairers
410,Telecommunications line installers and repairers
411,Precision instrument and equipment repairers
412,Wind turbine service technicians
413,"Coin, vending, and amusement machine servicers and repairers"
414,Commercial divers
415,Locksmiths and safe repairers
416,Manufactured building and mobile home installers
417,Riggers
418,Signal and track switch repairers
419,"Helpers--installation, maintenance, and repair workers "
420,"Other installation, maintenance, and repair workers"
421,First-line supervisors of production and operating workers
422,"Aircraft structure, surfaces, rigging, and systems assemblers"
423,"Electrical, electronics, and electromechanical assemblers"
424,Engine and other machine assemblers
425,Structural metal fabricators and fitters
426,Miscellaneous assemblers and fabricators
427,Bakers
428,"Butchers and other meat, poultry, and fish processing workers"
429,"Food and tobacco roasting, baking, and drying machine operators and tenders"
430,Food batchmakers
431,Food cooking machine operators and tenders
432,"Food processing workers, all other"
433,Computer control programmers and operators
434,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
435,"Forging machine setters, operators, and tenders, metal and plastic"
436,"Rolling machine setters, operators, and tenders, metal and plastic"
437,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
438,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic "
439,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
440,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
441,"Milling and planing machine setters, operators, and tenders, metal and plastic"
442,Machinists
443,"Metal furnace operators, tenders, pourers, and casters"
444,"Model makers and patternmakers, metal and plastic"
445,"Molders and molding machine setters, operators, and tenders, metal and plastic"
446,"Multiple machine tool setters, operators, and tenders, metal and plastic "
447,Tool and die makers
448,"Welding, soldering, and brazing workers"
449,"Heat treating equipment setters, operators, and tenders, metal and plastic"
450,"Layout workers, metal and plastic"
451,"Plating and coating machine setters, operators, and tenders, metal and plastic"
452,"Tool grinders, filers, and sharpeners"
453,"Metal workers and plastic workers, all other"
454,Prepress technicians and workers
455,Printing press operators
456,Print binding and finishing workers
457,Laundry and dry-cleaning workers
458,"Pressers, textile, garment, and related materials"
459,Sewing machine operators
460,Shoe and leather workers and repairers
461,Shoe machine operators and tenders
462,"Tailors, dressmakers, and sewers"
463,Textile bleaching and dyeing machine operators and tenders
464,"Textile cutting machine setters, operators, and tenders"
465,"Textile knitting and weaving machine setters, operators, and tenders"
466,"Textile winding, twisting, and drawing out machine setters, operators, and tenders"
467,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"
468,Fabric and apparel patternmakers
469,Upholsterers
470,"Textile, apparel, and furnishings workers, all other"
471,Cabinetmakers and bench carpenters
472,Furniture finishers
473,"Model makers and patternmakers, wood"
474,"Sawing machine setters, operators, and tenders, wood"
475,"Woodworking machine setters, operators, and tenders, except sawing"
476,"Woodworkers, all other"
477,"Power plant operators, distributors, and dispatchers"
478,Stationary engineers and boiler operators
479,Water and wastewater treatment plant and system operators
480,Miscellaneous plant and system operators
481,"Chemical processing machine setters, operators, and tenders"
482,"Crushing, grinding, polishing, mixing, and blending workers"
483,Cutting workers
484,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
485,"Furnace, kiln, oven, drier, and kettle operators and tenders"
486,"Inspectors, testers, sorters, samplers, and weighers"
487,Jewelers and precious stone and metal workers
488,"Medical, dental, and ophthalmic laboratory technicians"
489,Packaging and filling machine operators and tenders
490,Painting workers
491,Photographic process workers and processing machine operators
492,Semiconductor processors
493,Adhesive bonding machine operators and tenders
494,"Cleaning, washing, and metal pickling equipment operators and tenders"
495,Cooling and freezing equipment operators and tenders
496,Etchers and engravers
497,"Molders, shapers, and casters, except metal and plastic"
498,"Paper goods machine setters, operators, and tenders"
499,Tire builders
500,Helpers--production workers
501,"Production workers, all other"
502,Supervisors of transportation and material moving workers
503,Aircraft pilots and flight engineers
504,Air traffic controllers and airfield operations specialists
505,Flight attendants
